"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2020","1,887.00","1,889.15","1,895.50","1,881.95","-","-0.18%"
"Dec 17, 2020","1,890.40","1,868.40","1,902.00","1,865.90","-","1.68%"
"Dec 16, 2020","1,859.10","1,857.70","1,870.00","1,848.20","199.68K","0.20%"
"Dec 15, 2020","1,855.30","1,830.50","1,859.30","1,828.50","173.61K","1.27%"
"Dec 14, 2020","1,832.10","1,845.00","1,845.60","1,820.00","168.49K","-0.62%"
"Dec 11, 2020","1,843.60","1,840.00","1,851.80","1,826.80","153.80K","0.34%"
"Dec 10, 2020","1,837.40","1,843.00","1,854.20","1,831.50","164.80K","-0.06%"
"Dec 09, 2020","1,838.50","1,875.40","1,875.90","1,828.20","219.59K","-1.94%"
"Dec 08, 2020","1,874.90","1,866.10","1,879.80","1,863.90","151.79K","0.48%"
"Dec 07, 2020","1,866.00","1,841.10","1,873.00","1,824.80","209.04K","1.41%"
"Dec 04, 2020","1,840.00","1,844.70","1,852.70","1,832.00","171.26K","-0.06%"
"Dec 03, 2020","1,841.10","1,833.90","1,847.40","1,826.70","180.36K","0.60%"
"Dec 02, 2020","1,830.20","1,819.10","1,835.70","1,810.50","185.32K","0.62%"
"Dec 01, 2020","1,818.90","1,780.30","1,821.10","1,778.40","203.65K","2.13%"
"Nov 30, 2020","1,780.90","1,790.80","1,793.30","1,767.20","242.73K","-0.40%"
"Nov 27, 2020","1,788.10","1,812.10","1,822.60","1,776.50","282.35K","-1.05%"
"Nov 26, 2020","1,807.00","1,806.25","1,816.80","1,804.20","-","-0.23%"
"Nov 25, 2020","1,811.20","1,812.00","1,821.70","1,804.70","133.60K","0.02%"
"Nov 24, 2020","1,810.90","1,842.60","1,843.00","1,803.70","126.76K","-1.46%"
"Nov 23, 2020","1,837.80","1,869.80","1,875.00","1,828.00","319.66K","-1.85%"
"Nov 20, 2020","1,872.40","1,864.80","1,879.20","1,859.10","186.17K","0.59%"
"Nov 19, 2020","1,861.50","1,872.00","1,872.60","1,850.00","222.35K","-0.66%"
"Nov 18, 2020","1,873.90","1,879.50","1,884.20","1,860.30","209.00K","-0.59%"
"Nov 17, 2020","1,885.10","1,888.20","1,892.70","1,876.30","160.88K","-0.14%"
"Nov 16, 2020","1,887.80","1,886.60","1,898.00","1,861.50","222.94K","0.08%"
"Nov 13, 2020","1,886.20","1,875.60","1,895.80","1,872.10","162.54K","0.69%"
"Nov 12, 2020","1,873.30","1,863.90","1,883.00","1,860.70","209.93K","0.63%"
"Nov 11, 2020","1,861.60","1,876.10","1,882.50","1,853.90","215.17K","-0.79%"
"Nov 10, 2020","1,876.40","1,864.10","1,888.90","1,858.90","264.87K","1.19%"
"Nov 09, 2020","1,854.40","1,956.00","1,966.10","1,848.00","496.09K","-4.99%"
"Nov 06, 2020","1,951.70","1,950.00","1,961.80","1,937.20","246.78K","0.25%"
"Nov 05, 2020","1,946.80","1,903.40","1,954.30","1,902.20","297.51K","2.67%"
"Nov 04, 2020","1,896.20","1,910.30","1,917.90","1,881.80","293.95K","-0.74%"
"Nov 03, 2020","1,910.40","1,896.40","1,912.20","1,887.60","171.37K","0.95%"
"Nov 02, 2020","1,892.50","1,877.00","1,897.10","1,873.30","164.94K","0.67%"
"Oct 30, 2020","1,879.90","1,867.90","1,890.90","1,863.30","213.17K","0.64%"
"Oct 29, 2020","1,868.00","1,877.50","1,885.10","1,859.20","225.16K","-0.60%"
"Oct 28, 2020","1,879.20","1,909.80","1,912.60","1,869.10","297.09K","-1.71%"
"Oct 27, 2020","1,911.90","1,904.40","1,913.80","1,898.70","153.30K","0.33%"
"Oct 26, 2020","1,905.70","1,906.00","1,911.10","1,892.50","166.31K","0.03%"
"Oct 23, 2020","1,905.20","1,906.50","1,917.30","1,895.20","172.96K","0.03%"
"Oct 22, 2020","1,904.60","1,927.40","1,929.40","1,894.20","215.58K","-1.29%"
"Oct 21, 2020","1,929.50","1,911.60","1,936.00","1,911.60","201.27K","0.74%"
"Oct 20, 2020","1,915.40","1,906.40","1,917.60","1,896.60","163.91K","0.19%"
"Oct 19, 2020","1,911.70","1,903.20","1,923.40","1,900.20","159.85K","0.28%"
"Oct 16, 2020","1,906.40","1,912.70","1,918.70","1,901.10","146.91K","-0.13%"
"Oct 15, 2020","1,908.90","1,906.00","1,913.20","1,892.70","213.57K","0.08%"
"Oct 14, 2020","1,907.30","1,895.40","1,917.50","1,885.00","188.30K","0.67%"
"Oct 13, 2020","1,894.60","1,927.30","1,930.60","1,889.30","267.54K","-1.78%"
"Oct 12, 2020","1,928.90","1,935.00","1,939.40","1,923.80","157.21K","0.14%"
"Oct 09, 2020","1,926.20","1,898.40","1,936.80","1,898.00","229.85K","1.64%"
"Oct 08, 2020","1,895.10","1,890.60","1,905.30","1,885.30","185.45K","0.23%"
"Oct 07, 2020","1,890.80","1,882.60","1,902.40","1,877.10","188.59K","-0.94%"
"Oct 06, 2020","1,908.80","1,917.80","1,927.00","1,878.20","219.44K","-0.59%"
"Oct 05, 2020","1,920.10","1,910.90","1,924.90","1,891.20","177.59K","0.66%"
"Oct 02, 2020","1,907.60","1,911.00","1,923.60","1,895.20","212.73K","-0.45%"
"Oct 01, 2020","1,916.30","1,891.20","1,917.90","1,890.00","262.09K","1.10%"
"Sep 30, 2020","1,895.50","1,903.20","1,908.20","1,885.80","259.87K","-0.40%"
"Sep 29, 2020","1,903.20","1,886.40","1,904.80","1,880.80","217.80K","1.11%"
"Sep 28, 2020","1,882.30","1,862.70","1,888.20","1,851.10","235.92K","0.86%"
"Sep 25, 2020","1,866.30","1,872.70","1,879.30","1,854.10","230.86K","-0.56%"
"Sep 24, 2020","1,876.90","1,866.90","1,880.90","1,851.00","345.04K","0.45%"
"Sep 23, 2020","1,868.40","1,905.10","1,909.90","1,856.00","411.56K","-2.05%"
"Sep 22, 2020","1,907.60","1,918.10","1,925.50","1,898.90","282.71K","-0.16%"
"Sep 21, 2020","1,910.60","1,957.30","1,962.90","1,885.40","381.84K","-2.62%"
"Sep 18, 2020","1,962.10","1,951.10","1,968.20","1,951.10","174.77K","0.63%"
