DATE,M2
2017-01-02,13214.2
2017-01-09,13257.3
2017-01-16,13274.1
2017-01-23,13292.6
2017-01-30,13289.6
2017-02-06,13313.8
2017-02-13,13324.7
2017-02-20,13342.1
2017-02-27,13375.6
2017-03-06,13371.7
2017-03-13,13406.8
2017-03-20,13422.9
2017-03-27,13431.8
2017-04-03,13423.7
2017-04-10,13461.7
2017-04-17,13465.9
2017-04-24,13492.0
2017-05-01,13516.3
2017-05-08,13502.3
2017-05-15,13516.6
2017-05-22,13547.2
2017-05-29,13553.5
2017-06-05,13545.6
2017-06-12,13549.0
2017-06-19,13551.2
2017-06-26,13581.1
2017-07-03,13562.1
2017-07-10,13607.5
2017-07-17,13620.0
2017-07-24,13628.5
2017-07-31,13640.8
2017-08-07,13646.9
2017-08-14,13651.0
2017-08-21,13687.3
2017-08-28,13702.0
2017-09-04,13692.0
2017-09-11,13706.8
2017-09-18,13708.0
2017-09-25,13725.4
2017-10-02,13748.2
2017-10-09,13773.7
2017-10-16,13762.3
2017-10-23,13765.8
2017-10-30,13778.0
2017-11-06,13781.4
2017-11-13,13787.4
2017-11-20,13785.5
2017-11-27,13814.6
2017-12-04,13806.2
2017-12-11,13841.9
2017-12-18,13852.4
2017-12-25,13830.2
2018-01-01,13834.7
2018-01-08,13844.1
2018-01-15,13851.2
2018-01-22,13864.9
2018-01-29,13869.8
2018-02-05,13881.5
2018-02-12,13875.1
2018-02-19,13884.9
2018-02-26,13914.4
2018-03-05,13935.6
2018-03-12,13938.8
2018-03-19,13942.4
2018-03-26,13970.3
2018-04-02,13978.8
2018-04-09,13972.1
2018-04-16,13978.2
2018-04-23,14004.1
2018-04-30,14005.3
2018-05-07,14016.8
2018-05-14,14039.4
2018-05-21,14061.4
2018-05-28,14085.1
2018-06-04,14093.7
2018-06-11,14105.2
2018-06-18,14122.2
2018-06-25,14131.8
2018-07-02,14142.0
2018-07-09,14137.8
2018-07-16,14158.1
2018-07-23,14160.3
2018-07-30,14158.6
2018-08-06,14155.5
2018-08-13,14182.3
2018-08-20,14198.8
2018-08-27,14227.7
2018-09-03,14228.2
2018-09-10,14207.7
2018-09-17,14227.0
2018-09-24,14235.8
2018-10-01,14246.0
2018-10-08,14217.1
2018-10-15,14232.0
2018-10-22,14246.3
2018-10-29,14248.0
2018-11-05,14223.6
2018-11-12,14220.2
2018-11-19,14242.6
2018-11-26,14256.8
2018-12-03,14301.7
2018-12-10,14319.3
2018-12-17,14313.1
2018-12-24,14383.2
2018-12-31,14412.9
2019-01-07,14407.7
2019-01-14,14419.1
2019-01-21,14429.8
2019-01-28,14472.1
2019-02-04,14457.6
2019-02-11,14462.4
2019-02-18,14453.0
2019-02-25,14471.3
2019-03-04,14487.5
2019-03-11,14499.7
2019-03-18,14496.4
2019-03-25,14520.7
2019-04-01,14549.7
2019-04-08,14542.4
2019-04-15,14553.8
2019-04-22,14544.4
2019-04-29,14588.9
2019-05-06,14604.9
2019-05-13,14613.0
2019-05-20,14654.0
2019-05-27,14696.7
2019-06-03,14727.0
2019-06-10,14752.3
2019-06-17,14778.9
2019-06-24,14798.1
2019-07-01,14831.9
2019-07-08,14833.8
2019-07-15,14829.0
2019-07-22,14869.4
2019-07-29,14903.6
2019-08-05,14920.7
2019-08-12,14921.5
2019-08-19,14921.4
2019-08-26,14938.2
2019-09-02,14972.7
2019-09-09,14981.1
2019-09-16,14992.5
2019-09-23,15045.7
2019-09-30,15086.5
2019-10-07,15110.5
2019-10-14,15116.9
2019-10-21,15155.9
2019-10-28,15189.1
2019-11-04,15212.9
2019-11-11,15219.8
2019-11-18,15251.5
2019-11-25,15282.4
2019-12-02,15281.1
2019-12-09,15261.7
2019-12-16,15316.1
2019-12-23,15326.1
2019-12-30,15333.6
2020-01-06,15337.7
2020-01-13,15371.5
2020-01-20,15423.3
2020-01-27,15445.3
2020-02-03,15428.2
2020-02-10,15432.5
2020-02-17,15442.9
2020-02-24,15434.1
2020-03-02,15512.8
2020-03-09,15567.3
2020-03-16,15725.8
2020-03-23,16151.3
2020-03-30,16533.1
2020-04-06,16595.8
2020-04-13,16715.7
2020-04-20,17075.6
2020-04-27,17405.3
2020-05-04,17598.8
2020-05-11,17818.1
2020-05-18,17908.0
2020-05-25,17936.5
2020-06-01,17970.9
2020-06-08,18060.6
2020-06-15,18136.7
2020-06-22,18234.5
2020-06-29,18230.8
2020-07-06,18321.8
2020-07-13,18385.0
2020-07-20,18313.8
2020-07-27,18279.3
2020-08-03,18252.7
2020-08-10,18395.4
2020-08-17,18441.6
2020-08-24,18377.2
2020-08-31,18456.2
2020-09-07,18566.5
2020-09-14,18691.3
2020-09-21,18710.0
2020-09-28,18643.6
2020-10-05,18689.4
2020-10-12,18795.9
2020-10-19,18815.7
2020-10-26,18838.9
2020-11-02,18894.9
2020-11-09,19067.1
2020-11-16,19108.4
2020-11-23,19120.7
2020-11-30,18998.0
2020-12-07,19226.1
