"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2017","93.69","93.98","94.03","93.38","-","-0.26%"
"Dec 15, 2017","93.93","93.65","94.00","93.41","-","0.47%"
"Dec 14, 2017","93.49","93.41","93.76","93.28","-","0.06%"
"Dec 13, 2017","93.43","94.06","94.11","93.39","-","-0.71%"
"Dec 12, 2017","94.10","93.91","94.22","93.76","-","0.25%"
"Dec 11, 2017","93.87","93.93","93.98","93.67","-","-0.03%"
"Dec 08, 2017","93.90","93.79","94.09","93.77","-","0.11%"
"Dec 07, 2017","93.80","93.54","93.80","93.51","-","0.20%"
"Dec 06, 2017","93.61","93.31","93.65","93.17","-","0.25%"
"Dec 05, 2017","93.38","93.08","93.49","93.03","-","0.20%"
"Dec 04, 2017","93.19","93.17","93.36","93.07","-","0.32%"
"Dec 01, 2017","92.89","93.03","93.25","92.60","-","-0.17%"
"Nov 30, 2017","93.05","93.26","93.50","92.73","-","-0.12%"
"Nov 29, 2017","93.16","93.22","93.44","92.99","-","-0.12%"
"Nov 28, 2017","93.27","92.89","93.34","92.83","-","0.40%"
"Nov 27, 2017","92.90","92.73","92.98","92.50","-","0.13%"
"Nov 24, 2017","92.78","93.12","93.25","92.67","-","-0.47%"
"Nov 23, 2017","93.22","93.30","93.31","93.07","-","0.00%"
"Nov 22, 2017","93.22","93.93","93.96","93.21","-","-0.78%"
"Nov 21, 2017","93.95","94.04","94.17","93.88","-","-0.14%"
"Nov 20, 2017","94.08","93.71","94.10","93.58","-","0.45%"
"Nov 17, 2017","93.66","93.87","93.93","93.51","-","-0.29%"
"Nov 16, 2017","93.93","93.84","94.00","93.77","-","0.13%"
"Nov 15, 2017","93.81","93.86","93.93","93.40","-","-0.02%"
"Nov 14, 2017","93.83","94.52","94.54","93.75","-","-0.70%"
"Nov 13, 2017","94.49","94.42","94.64","94.40","-","0.11%"
"Nov 10, 2017","94.39","94.50","94.65","94.26","-","-0.05%"
"Nov 09, 2017","94.44","94.88","94.96","94.42","-","-0.45%"
"Nov 08, 2017","94.87","94.80","94.97","94.78","-","-0.04%"
"Nov 07, 2017","94.91","94.72","95.15","94.70","-","0.16%"
"Nov 06, 2017","94.76","94.87","95.08","94.69","-","-0.19%"
"Nov 03, 2017","94.94","94.73","95.02","94.41","-","0.26%"
"Nov 02, 2017","94.69","94.80","94.80","94.41","-","-0.13%"
"Nov 01, 2017","94.81","94.55","94.85","94.51","-","0.27%"
"Oct 31, 2017","94.55","94.54","94.70","94.45","-","-0.01%"
"Oct 30, 2017","94.56","94.83","94.90","94.44","-","-0.38%"
"Oct 27, 2017","94.92","94.72","95.15","94.73","-","0.33%"
"Oct 26, 2017","94.61","93.63","94.72","93.48","-","0.96%"
"Oct 25, 2017","93.71","93.94","94.01","93.61","-","-0.06%"
"Oct 24, 2017","93.77","93.83","93.99","93.68","-","-0.18%"
"Oct 23, 2017","93.94","93.82","94.02","93.68","-","0.26%"
"Oct 20, 2017","93.70","93.16","93.78","93.12","-","0.58%"
"Oct 19, 2017","93.16","93.42","93.55","93.06","-","-0.21%"
"Oct 18, 2017","93.36","93.48","93.80","93.36","-","-0.16%"
"Oct 17, 2017","93.51","93.31","93.73","93.28","-","0.21%"
"Oct 16, 2017","93.31","93.08","93.36","93.08","-","0.24%"
"Oct 13, 2017","93.09","93.09","93.24","92.75","-","0.03%"
"Oct 12, 2017","93.06","92.95","93.23","92.80","-","0.04%"
"Oct 11, 2017","93.02","93.25","93.37","92.90","-","-0.29%"
"Oct 10, 2017","93.29","93.73","93.74","93.14","-","-0.41%"
"Oct 09, 2017","93.67","93.77","93.84","93.62","-","-0.14%"
"Oct 06, 2017","93.80","93.92","94.27","93.77","-","-0.17%"
"Oct 05, 2017","93.96","93.48","93.99","93.41","-","0.53%"
"Oct 04, 2017","93.46","93.57","93.58","93.26","-","-0.12%"
"Oct 03, 2017","93.57","93.60","93.92","93.43","-","0.01%"
"Oct 02, 2017","93.56","93.22","93.66","93.12","-","0.52%"
"Sep 29, 2017","93.08","93.17","93.27","92.95","-","0.00%"
"Sep 28, 2017","93.08","93.47","93.67","93.07","-","-0.30%"
"Sep 27, 2017","93.36","93.04","93.61","93.00","-","0.42%"
"Sep 26, 2017","92.97","92.60","93.29","92.55","-","0.35%"
"Sep 25, 2017","92.65","92.42","92.72","92.21","-","0.52%"
"Sep 22, 2017","92.17","92.18","92.22","91.78","-","-0.02%"
"Sep 21, 2017","92.19","92.47","92.66","92.10","-","-0.35%"
"Sep 20, 2017","92.51","91.83","92.70","91.53","-","0.78%"
"Sep 19, 2017","91.79","91.98","92.05","91.75","-","-0.28%"
"Sep 18, 2017","92.05","91.95","92.21","91.80","-","0.20%"
"Sep 15, 2017","91.87","92.00","92.17","91.58","-","-0.27%"
"Sep 14, 2017","92.12","92.35","92.66","91.97","-","-0.43%"
"Sep 13, 2017","92.52","91.88","92.53","91.71","-","0.70%"
"Sep 12, 2017","91.88","91.86","92.08","91.77","-","-0.02%"
"Sep 11, 2017","91.90","91.44","91.98","91.42","-","0.60%"
"Sep 08, 2017","91.35","91.49","91.51","91.01","-","-0.34%"
"Sep 07, 2017","91.66","92.20","92.25","91.41","-","-0.68%"
"Sep 06, 2017","92.29","92.24","92.38","91.99","-","0.04%"
