"Date","Price","Open","High","Low","Change %"
"Dec 18, 2020","1.690","1.680","1.701","1.657","0.52%"
"Dec 17, 2020","1.681","1.660","1.692","1.626","1.45%"
"Dec 16, 2020","1.657","1.654","1.707","1.647","0.21%"
"Dec 15, 2020","1.653","1.632","1.669","1.616","1.26%"
"Dec 14, 2020","1.633","1.644","1.682","1.624","-0.65%"
"Dec 13, 2020","1.644","1.643","1.644","1.643","0.98%"
"Dec 11, 2020","1.628","1.632","1.645","1.600","0.00%"
"Dec 10, 2020","1.628","1.674","1.686","1.626","-3.56%"
"Dec 09, 2020","1.688","1.680","1.711","1.668","1.25%"
"Dec 08, 2020","1.667","1.686","1.700","1.643","-1.15%"
"Dec 07, 2020","1.686","1.744","1.744","1.681","-3.15%"
"Dec 04, 2020","1.741","1.658","1.750","1.646","5.13%"
"Dec 03, 2020","1.656","1.689","1.702","1.648","-1.98%"
"Dec 02, 2020","1.690","1.665","1.724","1.649","1.13%"
"Dec 01, 2020","1.671","1.574","1.684","1.562","6.48%"
"Nov 30, 2020","1.569","1.581","1.595","1.562","-0.78%"
"Nov 29, 2020","1.582","1.582","1.582","1.582","0.37%"
"Nov 27, 2020","1.576","1.603","1.609","1.571","-1.72%"
"Nov 26, 2020","1.603","1.605","1.605","1.603","-1.46%"
"Nov 25, 2020","1.627","1.612","1.634","1.584","0.90%"
"Nov 24, 2020","1.612","1.578","1.612","1.556","3.57%"
"Nov 23, 2020","1.557","1.532","1.569","1.527","2.68%"
"Nov 22, 2020","1.516","1.516","1.516","1.516","0.00%"
"Nov 20, 2020","1.516","1.530","1.565","1.516","-2.70%"
"Nov 19, 2020","1.558","1.595","1.599","1.546","-2.69%"
"Nov 18, 2020","1.601","1.612","1.636","1.574","-0.61%"
"Nov 17, 2020","1.611","1.659","1.677","1.607","-3.42%"
"Nov 16, 2020","1.668","1.653","1.690","1.619","0.81%"
"Nov 15, 2020","1.655","1.653","1.655","1.653","0.44%"
"Nov 13, 2020","1.648","1.638","1.656","1.612","0.42%"
"Nov 12, 2020","1.641","1.724","1.735","1.639","-4.98%"
"Nov 11, 2020","1.727","1.727","1.727","1.727","-1.14%"
"Nov 10, 2020","1.747","1.719","1.760","1.677","2.03%"
"Nov 09, 2020","1.712","1.612","1.767","1.571","6.07%"
"Nov 08, 2020","1.614","1.618","1.618","1.614","0.81%"
"Nov 06, 2020","1.601","1.522","1.619","1.517","4.92%"
"Nov 05, 2020","1.526","1.530","1.567","1.481","-1.30%"
"Nov 04, 2020","1.546","1.714","1.757","1.506","-7.76%"
"Nov 03, 2020","1.676","1.635","1.687","1.632","3.29%"
"Nov 02, 2020","1.622","1.637","1.672","1.607","-0.89%"
"Nov 01, 2020","1.637","1.640","1.640","1.637","-1.29%"
"Oct 30, 2020","1.658","1.614","1.667","1.582","3.04%"
"Oct 29, 2020","1.609","1.567","1.634","1.550","3.18%"
"Oct 28, 2020","1.560","1.549","1.575","1.528","0.35%"
"Oct 27, 2020","1.554","1.586","1.605","1.552","-2.34%"
"Oct 26, 2020","1.592","1.624","1.630","1.578","-3.01%"
"Oct 23, 2020","1.641","1.677","1.690","1.637","-2.35%"
"Oct 22, 2020","1.681","1.623","1.687","1.607","2.89%"
"Oct 21, 2020","1.633","1.606","1.653","1.596","2.54%"
"Oct 20, 2020","1.593","1.560","1.609","1.551","2.00%"
"Oct 19, 2020","1.562","1.546","1.574","1.540","1.05%"
"Oct 18, 2020","1.546","1.550","1.550","1.546","0.70%"
"Oct 16, 2020","1.535","1.514","1.548","1.496","1.06%"
"Oct 15, 2020","1.519","1.507","1.520","1.457","0.58%"
"Oct 14, 2020","1.510","1.516","1.522","1.483","-0.18%"
"Oct 13, 2020","1.513","1.555","1.562","1.507","-2.75%"
"Oct 12, 2020","1.556","1.556","1.556","1.556","-1.37%"
"Oct 09, 2020","1.577","1.574","1.609","1.561","-0.25%"
"Oct 08, 2020","1.581","1.580","1.593","1.559","0.00%"
"Oct 07, 2020","1.581","1.541","1.606","1.536","3.25%"
"Oct 06, 2020","1.531","1.586","1.610","1.523","-3.36%"
"Oct 05, 2020","1.584","1.503","1.593","1.492","5.40%"
"Oct 04, 2020","1.503","1.503","1.503","1.501","0.76%"
"Oct 02, 2020","1.492","1.459","1.495","1.425","2.53%"
"Oct 01, 2020","1.455","1.462","1.497","1.445","0.05%"
"Sep 30, 2020","1.454","1.419","1.487","1.412","2.66%"
"Sep 29, 2020","1.417","1.419","1.425","1.399","-0.13%"
"Sep 28, 2020","1.419","1.402","1.426","1.400","1.10%"
"Sep 27, 2020","1.403","1.402","1.403","1.402","0.09%"
"Sep 25, 2020","1.402","1.412","1.421","1.389","-0.32%"
