Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-12-17,90.165,90.18,89.64,89.741,-0.618,89.774,29477.0,34853.0,,,
2020-12-16,90.435,90.635,90.045,90.359,-0.05,90.276,28284.0,35509.0,,,
2020-12-15,90.595,90.78,90.345,90.409,-0.246,90.537,22407.0,34769.0,,,
2020-12-14,90.73,90.845,90.345,90.655,-0.269,90.555,23425.0,34159.0,,,
2020-12-11,90.75,91.05,90.63,90.97,0.15,90.929,11372.0,17559.0,,,250.0
2020-12-10,91.065,91.155,90.655,90.82,-0.263,90.911,20892.0,22724.0,,,
2020-12-09,90.905,91.205,90.69,91.083,0.115,90.909,26091.0,28587.0,,,
2020-12-08,90.915,91.02,90.745,90.968,0.179,90.879,23119.0,29450.0,,,
2020-12-07,90.795,91.24,90.61,90.789,0.095,90.853,35138.0,30976.0,,,
2020-12-04,90.65,90.87,90.47,90.694,-0.024,90.639,32945.0,35062.0,,,
2020-12-03,91.07,91.095,90.505,90.718,-0.397,90.78,22118.0,35676.0,,,
2020-12-02,91.19,91.495,90.98,91.115,-0.182,91.25,25497.0,35429.0,,,
2020-12-01,91.9,91.915,91.14,91.297,-0.561,91.519,29578.0,33928.0,,,
2020-11-30,91.73,92.04,91.49,91.858,0.057,91.722,31584.0,32504.0,,,
2020-11-27,92.0,92.035,91.74,91.801,-0.165,91.87,9923.0,31520.0,,,
2020-11-26,91.95,92.165,91.83,91.966,0.0,92.011,8177.0,31539.0,,,
2020-11-25,92.13,92.255,91.905,91.966,-0.254,92.06,22732.0,30655.0,,,
2020-11-24,92.51,92.555,92.105,92.22,-0.274,92.32,23193.0,29595.0,,,
2020-11-23,92.345,92.795,92.0,92.494,0.099,92.334,35608.0,28896.0,,,
2020-11-20,92.33,92.425,92.185,92.395,0.111,92.325,16260.0,29207.0,,,
2020-11-19,92.505,92.72,92.225,92.284,-0.027,92.499,20049.0,29625.0,,,
2020-11-18,92.44,92.51,92.195,92.311,-0.087,92.321,14660.0,28471.0,,,
2020-11-17,92.485,92.605,92.25,92.398,-0.232,92.398,17590.0,28468.0,,,
2020-11-16,92.715,92.85,92.435,92.63,-0.12,92.661,29487.0,28269.0,,,
2020-11-13,92.96,93.005,92.7,92.75,-0.206,92.84,14297.0,28116.0,,,
2020-11-12,92.97,93.125,92.755,92.956,-0.068,92.944,23307.0,28224.0,,,
2020-11-11,92.73,93.19,92.595,93.024,0.288,92.951,23547.0,28272.0,,,
2020-11-10,92.81,92.965,92.585,92.736,0.021,92.749,22874.0,28938.0,,,
2020-11-09,92.23,92.97,92.12,92.715,0.49,92.485,45985.0,30370.0,,,
2020-11-06,92.74,92.825,92.165,92.225,-0.291,92.399,32881.0,28831.0,,,
2020-11-05,93.4,93.54,92.47,92.516,-0.895,92.819,35450.0,25628.0,,,
2020-11-04,93.66,94.33,93.245,93.411,-0.149,93.69,36544.0,25944.0,,,
2020-11-03,94.035,94.06,93.295,93.56,-0.585,93.6,18238.0,25830.0,,,
2020-11-02,94.095,94.315,93.99,94.145,0.103,94.137,14746.0,26203.0,,,
2020-10-30,93.925,94.105,93.66,94.042,0.065,93.922,18477.0,26695.0,,,
2020-10-29,93.47,94.14,93.355,93.977,0.568,93.817,26344.0,26768.0,,,
2020-10-28,93.11,93.66,93.04,93.409,0.482,93.376,25860.0,28923.0,,,
2020-10-27,93.06,93.13,92.775,92.927,-0.117,92.932,13970.0,28347.0,,,
2020-10-26,92.75,93.11,92.73,93.044,0.279,92.995,14722.0,28914.0,,,
2020-10-23,92.97,93.13,92.645,92.765,-0.199,92.858,17694.0,29729.0,,,
2020-10-22,92.725,92.99,92.61,92.964,0.365,92.838,12272.0,30197.0,,,
2020-10-21,93.035,93.06,92.46,92.599,-0.452,92.714,24271.0,28674.0,,,
2020-10-20,93.415,93.505,92.975,93.051,-0.378,93.142,22350.0,25942.0,,,
2020-10-19,93.72,93.775,93.195,93.429,-0.25,93.41,21623.0,26172.0,,,
2020-10-16,93.815,93.885,93.52,93.679,-0.185,93.692,19361.0,25813.0,,,
2020-10-15,93.435,93.925,93.365,93.864,0.498,93.726,17903.0,26961.0,,,
2020-10-14,93.54,93.68,93.24,93.366,-0.17,93.424,24149.0,28581.0,,,
2020-10-13,93.075,93.605,93.045,93.536,0.432,93.391,28342.0,29490.0,,,
2020-10-12,93.11,93.27,93.025,93.104,0.039,93.126,17459.0,28270.0,,,
2020-10-09,93.575,93.62,93.0,93.065,-0.583,93.252,19919.0,28120.0,,,
2020-10-08,93.67,93.82,93.525,93.648,-0.03,93.68,14787.0,29294.0,,,
2020-10-07,93.89,93.975,93.605,93.678,-0.066,93.747,20276.0,30820.0,,,
2020-10-06,93.455,93.915,93.375,93.744,0.199,93.597,26656.0,30229.0,,,
2020-10-05,93.915,93.955,93.415,93.545,-0.364,93.619,17459.0,31835.0,,,
2020-10-02,93.8,94.09,93.735,93.909,0.147,93.899,21820.0,30521.0,,,
2020-10-01,93.865,93.98,93.565,93.762,-0.165,93.795,24773.0,28305.0,,,
2020-09-30,93.9,94.25,93.7,93.927,0.0,93.964,20007.0,28013.0,,,
2020-09-29,94.205,94.35,93.86,93.927,-0.375,94.078,17392.0,28258.0,,,
2020-09-28,94.63,94.67,94.175,94.302,-0.38,94.356,20236.0,28802.0,,,
2020-09-25,94.345,94.795,94.225,94.682,0.288,94.56,18880.0,27934.0,,,
2020-09-24,94.44,94.655,94.225,94.394,-0.049,94.449,23950.0,29252.0,,,
2020-09-23,94.03,94.495,93.965,94.443,0.425,94.25,30722.0,28249.0,,,
2020-09-22,93.585,94.12,93.5,94.018,0.334,93.817,23402.0,28522.0,,,
2020-09-21,93.005,93.815,92.755,93.684,0.732,93.393,32237.0,28095.0,,,
2020-09-18,92.895,93.045,92.77,92.952,-0.017,92.9,15652.0,27514.0,,,
2020-09-17,93.19,93.63,92.875,92.969,-0.262,93.245,31138.0,26785.0,,,
2020-09-16,93.13,93.3,92.8,93.231,0.146,93.062,35510.0,28076.0,,,
2020-09-15,93.07,93.185,92.79,93.085,0.025,93.02,18636.0,27292.0,,,
2020-09-14,93.335,93.34,92.865,93.06,-0.278,93.053,24009.0,25723.0,,,
2020-09-11,93.345,93.375,93.11,93.32,-0.011,93.279,10957.0,7485.0,,,442.0
2020-09-10,93.27,93.45,92.7,93.331,0.073,93.033,21152.0,11668.0,,,
2020-09-09,93.535,93.665,93.125,93.258,-0.183,93.365,24803.0,17362.0,,,
2020-09-08,93.05,93.52,93.0,93.441,0.722,93.291,30042.0,23100.0,,,
2020-09-07,92.8,93.09,92.8,92.719,0.0,92.963,7779.0,23920.0,,,
2020-09-04,92.825,93.245,92.665,92.719,-0.014,92.964,25875.0,24715.0,,,
2020-09-03,92.705,93.085,92.685,92.733,-0.101,92.882,20735.0,26489.0,,,
2020-09-02,92.265,92.875,92.235,92.834,0.497,92.66,24027.0,27811.0,,,
2020-09-01,92.17,92.4,91.725,92.337,0.206,92.028,33197.0,28945.0,,,
2020-08-31,92.3,92.49,91.99,92.131,-0.248,92.224,29089.0,28697.0,,,
2020-08-28,93.03,93.1,92.18,92.379,-0.612,92.463,35365.0,27608.0,,,
2020-08-27,92.835,93.35,92.385,92.991,-0.005,92.949,46978.0,28428.0,,,
2020-08-26,93.02,93.375,92.835,92.996,-0.023,93.052,18757.0,28845.0,,,
2020-08-25,93.27,93.35,92.96,93.019,-0.27,93.131,16287.0,27457.0,,,
2020-08-24,93.215,93.34,92.83,93.289,0.049,93.119,16197.0,26176.0,,,
2020-08-21,92.69,93.48,92.565,93.24,0.462,93.163,25532.0,30419.0,,,
2020-08-20,92.975,93.245,92.71,92.778,-0.102,92.967,19706.0,30760.0,,,
2020-08-19,92.21,93.065,92.145,92.88,0.621,92.583,21584.0,33333.0,,,
2020-08-18,92.82,92.82,92.11,92.259,-0.588,92.392,21709.0,32874.0,,,
2020-08-17,93.035,93.115,92.75,92.847,-0.238,92.908,12464.0,33096.0,,,
2020-08-14,93.245,93.41,92.995,93.085,-0.232,93.162,15380.0,32806.0,,,
